mail_id,success,language_detected,language,analyzer_hits,redacted_spans,redaction_ratio,identity_empty,identity_source,processing_time_sec,output_file,error
mail_001,True,en,en,15,3,0.2,False,headers_plus_first_line,0.2891,outputs/anonymized/mail_001.txt,
mail_001_fr,True,fr,fr,15,3,0.2,False,headers_plus_first_line,0.0316,outputs/anonymized/mail_001_fr.txt,
mail_002,True,en,en,26,4,0.1538,False,headers_plus_first_line,0.1334,outputs/anonymized/mail_002.txt,
mail_003,True,en,en,11,2,0.1818,False,headers_plus_first_line,0.0597,outputs/anonymized/mail_003.txt,
mail_004,True,en,en,7,2,0.2857,False,headers_plus_first_line,0.0359,outputs/anonymized/mail_004.txt,
mail_005,True,en,en,15,2,0.1333,False,headers_plus_first_line,0.0316,outputs/anonymized/mail_005.txt,
mail_006,True,en,en,8,2,0.25,False,headers_plus_first_line,0.0539,outputs/anonymized/mail_006.txt,
mail_007,True,en,en,9,1,0.1111,False,headers_plus_first_line,0.0566,outputs/anonymized/mail_007.txt,
mail_008,True,en,en,9,2,0.2222,False,headers_plus_first_line,0.0314,outputs/anonymized/mail_008.txt,
mail_009,True,en,en,13,2,0.1538,False,headers_plus_first_line,0.0529,outputs/anonymized/mail_009.txt,
mail_010,True,en,en,9,2,0.2222,False,headers_plus_first_line,0.0573,outputs/anonymized/mail_010.txt,
mail_011,True,en,en,50,10,0.2,False,headers_plus_first_line,0.153,outputs/anonymized/mail_011.txt,
mail_012,True,en,en,53,5,0.0943,False,headers_email_and_name,0.2626,outputs/anonymized/mail_012.txt,
